Nickname,Verified,CommentCount,PlayCount,ShareCount,Duration
HaleyMermaid,False,291,975800,131,40
Dr. Dorender Gray,False,4001,955300,5407,59
elyseveronika⁷,False,1734,1000000,1228,50
Valegard,False,677,1200000,892,12
“Cow” boy,False,3662,2600000,5268,20
ohshells,False,2720,658900,7059,24
Kirsten Warner ❤️,False,303,14100000,251,25
The Boss Wives,False,508,975300,7397,41
Katelyn Magnuson-Millennial,False,5654,1500000,10200,54
THE BLONDIE BOYS,False,17600,33900000,41500,31
ApolloandFrens,False,16900,21500000,37100,21
Liondad87,True,13200,21300000,15300,55
thecarolinafarmer,False,11700,23000000,16800,52
DIY Queen,False,8765,24300000,176600,39
Sambrum,False,42600,24800000,64200,24
xiaomanyc,False,2930,17400000,20300,13
RJCDoodles,False,8505,13900000,86200,11
Alejandro Zuluaga,False,6545,18300000,15400,42
joostinonline,False,16200,14400000,222000,44
Mark Schenker,False,11800,8300000,29300,10
stranger,False,825,38800000,4999,32
Math Academia,False,23000,12200000,30900,45
Wes,False,38300,9100000,113700,51
Zachary Alexander Rice,True,20500,8200000,33100,48
brianwen123,False,19100,12200000,33900,27
Zachary Alexander Rice,True,9293,10300000,19000,32
Giselle,False,6150,9700000,8488,15
IOHA,True,9991,17600000,37600,32
THE BLONDIE BOYS,False,6562,8400000,40800,37
Seema Pankhania,False,3970,3800000,1928,57
Anderson Bluu,True,624,2600000,2029,25
ARC English,False,2576,7500000,6129,15
TED Talks,True,115,181300,237,110
Ong Squad,True,7020,26000000,44800,67
Get Adjusted Now,False,3623,16300000,16400,8
Math Letters,False,7432,9600000,50900,77
problemsolved,True,951,2600000,1052,59
Bowser,False,220,2400000,188,40
"Betsy Grunch, M.D.",False,4396,4100000,41100,52
Jai Loft,False,817,5300000,1883,15
Dr Charles MD,True,992,3600000,9256,14
History Fellow,False,1415,1500000,1353,80
Josh & Matt,True,277,3100000,297,19
Luxan,False,781,4000000,9557,31
Odd Animal Specimens,False,5528,4600000,2577,39
problemsolved,True,56,65600,42,50
Khabane lame,True,86700,194600000,141100,17
Khabane lame,True,113000,157300000,72600,19
Thepoolguyml,True,106200,153000000,82200,52
Khabane lame,True,333700,352200000,357300,25
Khabane lame,True,216800,298200000,225900,17
Khabane lame,True,201300,276500000,275500,25
Khabane lame,True,189400,279500000,494800,20
Khabane lame,True,153600,155000000,104700,45
Khabane lame,True,86700,194600000,141100,17
Khabane lame,True,153900,237000000,240200,20
Khabane lame,True,108900,187000000,1700000,40
Khabane lame,True,152500,180700000,94900,15
Khabane lame,True,85800,147500000,50200,24
Khabane lame,True,108100,171200000,169200,16
Khabane lame,True,110900,185300000,204500,25
Khabane lame,True,63200,123600000,71500,20
Khabane lame,True,105900,168700000,137100,23
Khabane lame,True,76600,177900000,106800,15
Khabane lame,True,76700,156000000,104700,26
Khabane lame,True,110900,174400000,83700,26
Khabane lame,True,99200,143400000,39900,14
Khabane lame,True,70500,119600000,60400,10
Khabane lame,True,100400,95800000,101900,22
Harvey Bass,True,113800,92400000,1300000,15
Rick Azas,True,84700,89400000,801500,10
MING,True,10500,69400000,30900,49
MING,True,30900,44100000,116900,20
MING,True,14200,71000000,33700,58
dylanpawson,True,18000,47900000,34400,18
101mukesh,False,7342,56200000,158900,13
Lorena,False,20000,24000000,108400,58
MING,True,7696,35800000,16400,59
Luca & Friends,False,82800,21900000,122700,8
Kajsa Alte,False,86800,23100000,288800,12
Brodie Pawson,True,35000,41500000,81700,20
Dr. Tim,True,18900,37900000,71600,15
DADDY MING,True,10200,32000000,43700,20
MING,True,5875,36400000,9707,34
Edward centeno,False,7309,37600000,615200,34
prince,False,10700,56400000,103200,10
Grace Page,True,16600,51600000,47000,15
Mady,False,13500,48500000,114000,9
Harriet Pavlou,True,11000,76200000,80700,14
Spencer X,True,94400,226300000,167100,16
Or Zuti,True,86100,243800000,281300,11
Haley Blazek,False,53500,66100000,323500,44
Grant Rigatoni,False,213600,66800000,355200,7
Joey Klaasen,True,21100,126700000,80300,10
Kirya Kolesnikov,True,74900,159000000,155800,57
Doby & Blue - Corgis,False,36100,131500000,162000,10
Nyyear Price,False,36000,173200000,29700,26
Spencer X,True,15600,146800000,72100,11
Kirya Kolesnikov,True,94600,136700000,108500,26
Dev & Montyy,False,67300,51700000,150000,19
Mike Hammer,False,44200,138400000,297700,59
Spencer X,True,20500,105800000,67500,9
Shayan,False,108600,74200000,537400,17
Fitness Tonya,False,52900,187700000,76300,21
Joana & Kelvin,False,82400,58100000,128800,37
Topper Guild,True,23200,100800000,56000,28
Appie,True,37500,118800000,78100,17
Fitness Tonya,False,33400,130200000,47200,21
Kirya Kolesnikov,True,42800,57400000,18500,44
Samuel Grubbs,True,214600,169500000,433300,14
activesufi,False,50000,140800000,68500,8
David Beck,True,116700,185200000,225300,11
K9 Arlo,False,201600,100500000,404400,53
GnB,False,66500,85000000,291600,59
Hanya Ismail,False,256900,172700000,541100,10
EmIly,False,256000,43800000,759300,9
Dimpey,False,135100,58200000,591600,59
Prokop,False,335900,73500000,773100,10
